"group","@id","rfds:label","rdfs:comment","rdfs:label.zh-cn","rdfs:comment.zh-cn"
"type","http://schema.org/APIReference",,"Reference documentation for application programming interfaces (APIs).","API参考","应用程序接口（API）的参考文档"
"type","http://schema.org/AboutPage",,"Web page type: About page.","关于页","一个网页的类型: 关于页面."
"type","http://schema.org/AcceptAction",,"<p>The act of committing to/adopting an object.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/RejectAction"">RejectAction</a>: The antonym of AcceptAction.</li>
</ul>
",,
"type","http://schema.org/Accommodation",,"An accommodation is a place that can accommodate human beings, e.g. a hotel room, a camping pitch, or a meeting room. Many accommodations are for overnight stays, but this is not a mandatory requirement.
For more specific types of accommodations not defined in schema.org, one can use additionalType with external vocabularies.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.",,
"type","http://schema.org/AccountingService",,"Accountancy business.</p>

<p>As a <a class=""localLink"" href=""http://schema.org/LocalBusiness"">LocalBusiness</a> it can be described as a <a class=""localLink"" href=""http://schema.org/provider"">provider</a> of one or more <a class=""localLink"" href=""http://schema.org/Service"">Service</a>(s).","会计服务","会计服务"
"type","http://schema.org/AchieveAction",,"The act of accomplishing something via previous efforts. It is an instantaneous action rather than an ongoing process.",,
"type","http://schema.org/Action",,"An action performed by a direct agent and indirect participants upon a direct object. Optionally happens at a location with the help of an inanimate instrument. The execution of the action may produce a result. Specific action sub-type documentation specifies the exact expectation of each argument/role.</p>

<p>See also <a href=""http://blog.schema.org/2014/04/announcing-schemaorg-actions.html"">blog post</a> and <a href=""http://schema.org/docs/actions.html"">Actions overview document</a>.",,
"type","http://schema.org/ActionStatusType",,"The status of an Action.",,
"type","http://schema.org/ActivateAction",,"The act of starting or activating a device or application (e.g. starting a timer or turning on a flashlight).",,
"type","http://schema.org/AddAction",,"The act of editing by adding an object to a collection.",,
"type","http://schema.org/AdministrativeArea",,"A geographical region, typically under the jurisdiction of a particular government.","行政区",
"type","http://schema.org/AdultEntertainment",,"An adult entertainment establishment.","成人娱乐服务","成人娱乐服务"
"type","http://schema.org/AggregateOffer",,"When a single product is associated with multiple offers (for example, the same pair of shoes is offered by different merchants), then AggregateOffer can be used.","综合开价","当一个商品或服务有不同的销售商给出不同的开价时，可以使用这个词来概括各家出价的综合情况,比如可以是平均数或者中位数，或者一个范围"
"type","http://schema.org/AggregateRating",,"The average rating based on multiple ratings or reviews.","综合评分","对一个事物基于多个评论或打分得到的综合（平均）评分"
"type","http://schema.org/AgreeAction",,"The act of expressing a consistency of opinion with the object. An agent agrees to/about an object (a proposition, topic or theme) with participants.",,
"type","http://schema.org/Airline",,"An organization that provides flights for passengers.",,
"type","http://schema.org/Airport",,"An airport.","机场","飞机场"
"type","http://schema.org/AlignmentObject",,"An intangible item that describes an alignment between a learning resource and a node in an educational framework.","对齐对象","一个抽象类，用于教育框架中的学习资源对齐"
"type","http://schema.org/AllocateAction",,"The act of organizing tasks/objects/events by associating resources to it.",,
"type","http://schema.org/AmusementPark",,"An amusement park.","游乐园","游乐园"
"type","http://schema.org/AnimalShelter",,"Animal shelter.",,
"type","http://schema.org/Answer",,"An answer offered to a question; perhaps correct, perhaps opinionated or wrong.",,
"type","http://schema.org/Apartment",,"An apartment (in American English) or flat (in British English) is a self-contained housing unit (a type of residential real estate) that occupies only part of a building (Source: Wikipedia, the free encyclopedia, see <a href=""http://en.wikipedia.org/wiki/Apartment"">http://en.wikipedia.org/wiki/Apartment</a>).",,
"type","http://schema.org/ApartmentComplex",,"Residence type: Apartment complex.","公寓",
"type","http://schema.org/AppendAction",,"The act of inserting at the end if an ordered collection.",,
"type","http://schema.org/ApplyAction",,"<p>The act of registering to an organization/service without the guarantee to receive it.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/RegisterAction"">RegisterAction</a>: Unlike RegisterAction, ApplyAction has no guarantees that the application will be accepted.</li>
</ul>
",,
"type","http://schema.org/Aquarium",,"Aquarium.","水族馆","水族馆"
"type","http://schema.org/ArriveAction",,"The act of arriving at a place. An agent arrives at a destination from a fromLocation, optionally with participants.",,
"type","http://schema.org/ArtGallery",,"An art gallery.","艺术馆","艺术馆，美术馆"
"type","http://schema.org/Article",,"An article, such as a news article or piece of investigative report. Newspapers and magazines have articles of many different types and this is intended to cover them all.</p>

<p>See also <a href=""http://blog.schema.org/2014/09/schemaorg-support-for-bibliographic_2.html"">blog post</a>.","文章","文章，比如新闻报道或调查报告。报纸和杂志包含了多种类型的文章，此类是为了覆盖所有这些类型"
"type","http://schema.org/AskAction",,"<p>The act of posing a question / favor to someone.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/ReplyAction"">ReplyAction</a>: Appears generally as a response to AskAction.</li>
</ul>
",,
"type","http://schema.org/AssessAction",,"The act of forming one's opinion, reaction or sentiment.",,
"type","http://schema.org/AssignAction",,"The act of allocating an action/event/task to some destination (someone or something).",,
"type","http://schema.org/Attorney",,"Professional service: Attorney. </p>

<p>This type is deprecated - <a class=""localLink"" href=""http://schema.org/LegalService"">LegalService</a> is more inclusive and less ambiguous.","律师服务","律师服务"
"type","http://schema.org/Audience",,"Intended audience for an item, i.e. the group for whom the item was created.","听众","听众，观众, 读者"
"type","http://schema.org/AudioObject",,"An audio file.","音频对象","音频对象"
"type","http://schema.org/AuthorizeAction",,"The act of granting permission to an object.",,
"type","http://schema.org/AutoBodyShop",,"Auto body shop.",,
"type","http://schema.org/AutoDealer",,"An car dealership.","汽车零售商","汽车零售商"
"type","http://schema.org/AutoPartsStore",,"An auto parts store.","汽车部件商店","汽车零部件商店"
"type","http://schema.org/AutoRental",,"A car rental business.","汽车租赁","汽车租赁服务"
"type","http://schema.org/AutoRepair",,"Car repair business.","汽车修理","汽车修理"
"type","http://schema.org/AutoWash",,"A car wash business.","汽车清洗","汽车清洗"
"type","http://schema.org/AutomatedTeller",,"ATM/cash machine.","自动提款机","ATM 自动提款机"
"type","http://schema.org/AutomotiveBusiness",,"Car repair, sales, or parts.","机动车服务","汽车修理，买卖,零部件等"
"type","http://schema.org/Bakery",,"A bakery.","面包房","面包房"
"type","http://schema.org/BankAccount",,"A product or service offered by a bank whereby one may deposit, withdraw or transfer money and in some cases be paid interest.",,
"type","http://schema.org/BankOrCreditUnion",,"Bank or credit union.","银行或信用社","银行或信用社"
"type","http://schema.org/BarOrPub",,"A bar or pub.","酒吧","酒吧"
"type","http://schema.org/Barcode",,"An image of a visual machine-readable code such as a barcode or QR code.",,
"type","http://schema.org/Beach",,"Beach.","海滨","海滨，湖滨"
"type","http://schema.org/BeautySalon",,"Beauty salon.","美容沙龙","美容沙龙"
"type","http://schema.org/BedAndBreakfast",,"Bed and breakfast.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>.","床位和早餐","床位和早餐"
"type","http://schema.org/BedDetails",,"An entity holding detailed information about the available bed types, e.g. the quantity of twin beds for a hotel room. For the single case of just one bed of a certain type, you can use bed directly with a text. See also <a class=""localLink"" href=""http://schema.org/BedType"">BedType</a> (under development).",,
"type","http://schema.org/BefriendAction",,"<p>The act of forming a personal connection with someone (object) mutually/bidirectionally/symmetrically.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/FollowAction"">FollowAction</a>: Unlike FollowAction, BefriendAction implies that the connection is reciprocal.</li>
</ul>
",,
"type","http://schema.org/BikeStore",,"A bike store.","自行车店","自行车商店"
"type","http://schema.org/Blog",,"A blog.","博客","博客"
"type","http://schema.org/BlogPosting",,"A blog post.","博客帖","博客发帖"
"type","http://schema.org/BoardingPolicyType",,"A type of boarding policy used by an airline.",,
"type","http://schema.org/BodyOfWater",,"A body of water, such as a sea, ocean, or lake.","水体","比如海，湖泊"
"type","http://schema.org/Book",,"A book.","书","书籍"
"type","http://schema.org/BookFormatType",,"The publication format of the book.","书出版版式","书的出版版式，如电子书，纸版"
"type","http://schema.org/BookSeries",,"A series of books. Included books can be indicated with the hasPart property.",,
"type","http://schema.org/BookStore",,"A bookstore.","书店","书店"
"type","http://schema.org/BookmarkAction",,"An agent bookmarks/flags/labels/tags/marks an object.",,
"type","http://schema.org/Boolean",,"Boolean: True or False.",,
"type","http://schema.org/BorrowAction",,"<p>The act of obtaining an object under an agreement to return it at a later date. Reciprocal of LendAction.</p>

<p>Related actions:</p>

<ul>
<li><a class=""localLink"" href=""http://schema.org/LendAction"">LendAction</a>: Reciprocal of BorrowAction.</li>
</ul>
",,
"type","http://schema.org/BowlingAlley",,"A bowling alley.","保龄球馆","保龄球馆"
"type","http://schema.org/Brand",,"A brand is a name used by an organization or business person for labeling a product, product group, or similar.","品牌","一个企业或机构给他们产品的品牌或商标"
"type","http://schema.org/BreadcrumbList",,"A BreadcrumbList is an ItemList consisting of a chain of linked Web pages, typically described using at least their URL and their name, and typically ending with the current page.</p>

<p>The <a class=""localLink"" href=""http://schema.org/position"">position</a> property is used to reconstruct the order of the items in a BreadcrumbList The convention is that a breadcrumb list has an <a class=""localLink"" href=""http://schema.org/itemListOrder"">itemListOrder</a> of <a class=""localLink"" href=""http://schema.org/ItemListOrderAscending"">ItemListOrderAscending</a> (lower values listed first), and that the first items in this list correspond to the ""top"" or beginning of the breadcrumb trail, e.g. with a site or section homepage. The specific values of 'position' are not assigned meaning for a BreadcrumbList, but they should be integers, e.g. beginning with '1' for the first item in the list.",,
"type","http://schema.org/Brewery",,"Brewery.","啤酒厂","啤酒厂"
"type","http://schema.org/Bridge",,"A bridge.",,
"type","http://schema.org/BroadcastChannel",,"A unique instance of a BroadcastService on a CableOrSatelliteService lineup.",,
"type","http://schema.org/BroadcastEvent",,"An over the air or online broadcast event.",,
"type","http://schema.org/BroadcastService",,"A delivery service through which content is provided via broadcast over the air or online.",,
"type","http://schema.org/BuddhistTemple",,"A Buddhist temple.","喇嘛庙","佛教寺庙"
"type","http://schema.org/BusReservation",,"A reservation for bus travel. </p>

<p>Note: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use <a class=""localLink"" href=""http://schema.org/Offer"">Offer</a>.",,
"type","http://schema.org/BusStation",,"A bus station.","汽车站","汽车枢纽站"
"type","http://schema.org/BusStop",,"A bus stop.","公交站","公交停靠站"
"type","http://schema.org/BusTrip",,"A trip on a commercial bus line.",,
"type","http://schema.org/BusinessAudience",,"A set of characteristics belonging to businesses, e.g. who compose an item's target audience.",,
